date,trade_returns_day
2011-01-05,
2011-01-06,0.9787895998990281
2011-01-07,1.0
2011-01-08,1.0
2011-01-11,1.0
2011-01-12,1.0
2011-01-13,1.0
2011-01-14,1.0
2011-01-15,1.0
2011-01-19,1.0
2011-01-20,1.0
2011-01-21,1.0
2011-01-22,1.0
2011-01-25,1.0
2011-01-26,1.0
2011-01-27,1.0
2011-01-28,1.0
2011-01-29,1.0
2011-02-01,1.0
2011-02-02,1.0
2011-02-03,1.0
2011-02-04,1.0
2011-02-05,1.0
2011-02-08,1.0
2011-02-09,1.0
2011-02-10,1.0
2011-02-11,1.0
2011-02-12,1.0
2011-02-15,0.9910873146622735
2011-02-16,1.0134809421699165
2011-02-17,1.0
2011-02-18,1.0
2011-02-19,1.0
2011-02-23,1.0
2011-02-24,1.0
2011-02-25,1.0
2011-02-26,1.0
2011-03-01,1.0
2011-03-02,1.073085138846506
2011-03-03,1.003839044504479
2011-03-04,1.0
2011-03-05,1.0285287528005975
2011-03-08,1.0254138832413593
2011-03-09,1.0
2011-03-10,1.0
2011-03-11,1.0
2011-03-12,1.0
2011-03-15,1.0
2011-03-16,1.0
2011-03-17,1.0
2011-03-18,1.0
2011-03-19,0.9699077000885068
2011-03-22,0.9217833398513884
2011-03-23,1.0
2011-03-24,1.0
2011-03-25,1.0
2011-03-26,1.0
2011-03-29,1.0
2011-03-30,1.0
2011-03-31,1.0
2011-04-01,0.997964934251722
2011-04-02,0.9907450980392157
2011-04-05,0.9911336288790373
2011-04-06,0.9813099041533546
2011-04-07,1.0
2011-04-08,1.0
2011-04-09,1.0
2011-04-12,1.0
2011-04-13,1.0
2011-04-14,1.0
2011-04-15,1.0
2011-04-16,1.0
2011-04-19,1.0
2011-04-20,1.0
2011-04-21,1.0
2011-04-22,0.9708999461110113
2011-04-26,0.9772432932469935
2011-04-27,1.0
2011-04-28,1.0
2011-04-29,1.0
2011-04-30,1.0
2011-05-03,1.0
2011-05-04,1.0
2011-05-05,1.0
2011-05-06,1.0
2011-05-07,1.0
2011-05-10,1.0
2011-05-11,1.0
2011-05-12,1.0
2011-05-13,1.0
2011-05-14,1.0
2011-05-17,1.0
2011-05-18,1.0
2011-05-19,1.0
2011-05-20,1.0
2011-05-21,1.0
2011-05-24,1.0
2011-05-25,1.0
2011-05-26,1.0
2011-05-27,1.0
2011-05-28,0.9824380165289256
2011-06-01,0.9713985278654048
2011-06-02,1.0
2011-06-03,1.0
2011-06-04,1.0
